year,tournament,tournament_id,stage,round_no,date,region,prefecture,team_a,team_b,score_a,score_b,winner,venue,source_url
2025-10-11,1回戦,明大中野,7 - 0,成城,https://www.hb-nippon.com/tournaments/1063
2025-10-28,3回戦,二松学舎大付,0 - 0,東海大高輪台,https://www.hb-nippon.com/tournaments/1063
2025-10-28,3回戦,広尾,0 - 0,日野,https://www.hb-nippon.com/tournaments/1063
2025-10-28,3回戦,桜美林,0 - 0,八王子実践,https://www.hb-nippon.com/tournaments/1063
2025-10-27,3回戦,関東第一,0 - 0,明大八王子,https://www.hb-nippon.com/tournaments/1063
2025-10-27,3回戦,日体大荏原,0 - 0,成立学園,https://www.hb-nippon.com/tournaments/1063
2025-10-27,3回戦,城東,0 - 0,帝京,https://www.hb-nippon.com/tournaments/1063
2025-10-27,3回戦,日大二,0 - 0,国士舘,https://www.hb-nippon.com/tournaments/1063
2025-10-27,3回戦,日大三,0 - 0,聖パウロ学園,https://www.hb-nippon.com/tournaments/1063
2025-10-19,2回戦,帝京,11 - 0,日大桜丘,https://www.hb-nippon.com/tournaments/1063
2025-10-19,2回戦,日大二,13 - 12,国学院久我山,https://www.hb-nippon.com/tournaments/1063
2025-10-19,2回戦,城東,6 - 3,駒大,https://www.hb-nippon.com/tournaments/1063
2025-10-19,2回戦,成立学園,4 - 3,創価,https://www.hb-nippon.com/tournaments/1063
2025-10-19,2回戦,日体大荏原,15 - 1,小岩,https://www.hb-nippon.com/tournaments/1063
2025-10-19,2回戦,国士舘,5 - 0,工学院大付,https://www.hb-nippon.com/tournaments/1063
2025-10-18,2回戦,東海大高輪台,10 - 3,狛江,https://www.hb-nippon.com/tournaments/1063
2025-10-18,2回戦,明大八王子,5 - 4,世田谷学園,https://www.hb-nippon.com/tournaments/1063
2025-10-18,2回戦,日野,9 - 2,立正大立正,https://www.hb-nippon.com/tournaments/1063
2025-10-18,2回戦,二松学舎大付,7 - 1,明大中野,https://www.hb-nippon.com/tournaments/1063
2025-10-18,2回戦,八王子実践,6 - 5,八王子,https://www.hb-nippon.com/tournaments/1063
2025-10-18,2回戦,関東第一,9 - 0,府中工科,https://www.hb-nippon.com/tournaments/1063
2025-10-18,2回戦,桜美林,2 - 1,修徳,https://www.hb-nippon.com/tournaments/1063
2025-10-18,2回戦,聖パウロ学園,4 - 3,岩倉,https://www.hb-nippon.com/tournaments/1063
